"Girokonto";"DE00000000000000000001"
"Zeitraum:";"01.03.2026 - 31.03.2026"
"Kontostand vom 21.04.2026:";"42.187,63 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"31.03.26";"31.03.26";"Gebucht";"Musterfirma AG";"Max Mustermann";"Lohn/Gehalt 00000000/202603";"Eingang";"DE00000000000000000010";"3.847,55";"";"";""
"31.03.26";"31.03.26";"Gebucht";"ISSUER";"Tankstelle.Muster/Ort1";"VISA Debitkartenumsatz vom 29.03.2026";"Ausgang";"DE00000000000000000020";"-47,82";"";"";"000000000000000"
"31.03.26";"31.03.26";"Gebucht";"Mustermann, Max";"Kindergarten Musterstadt e.V.";"Elternbeitrag Kind 1";"Ausgang";"DE00000000000000000030";"-130";"DE00ZZZ00000000000";"00/00/0An0";""
"31.03.26";"31.03.26";"Gebucht";"Mustermann, Max";"Kindergarten Musterstadt e.V.";"KiGa Beitrag Kind 2 (ohne Förderung) 230 + Anmeldegebühr 40 + Materialgeld 40";"Ausgang";"DE00000000000000000030";"-310";"DE00ZZZ00000000000";"00/00 AnK2";""
"30.03.26";"30.03.26";"Gebucht";"ISSUER";"Supermarkt.Muster/Ort2";"VISA Debitkartenumsatz vom 28.03.2026";"Ausgang";"DE00000000000000000020"; "-63,17";"";"";"000000000000000"
"27.03.26";"27.03.26";"Gebucht";"ISSUER";"Bäckerei.Muster/Ort3";"VISA Debitkartenumsatz vom 26.03.2026";"Ausgang";"DE00000000000000000020";"-8,45";"";"";"000000000000000"
"27.03.26";"27.03.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 26.03.2026";"Ausgang";"DE00000000000000000020";"-34,29";"";"";"000000000000000"
"27.03.26";"27.03.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 26.03.2026";"Ausgang";"DE00000000000000000020";"-127,53";"";"";"000000000000000"
"25.03.26";"25.03.26";"Gebucht";"ISSUER";"Autoschilder.GmbH/Ort4";"VISA Debitkartenumsatz vom 24.03.2026";"Ausgang";"DE00000000000000000020";"-89,90";"";"";"000000000000000"
"25.03.26";"25.03.26";"Gebucht";"ISSUER";"Amt.Musterstadt/Ort4";"VISA Debitkartenumsatz vom 24.03.2026";"Ausgang";"DE00000000000000000020";"-52,30";"";"";"000000000000000"
"24.03.26";"24.03.26";"Gebucht";"ISSUER";"Supermarkt.K/Ort5";"VISA Debitkartenumsatz vom 23.03.2026";"Ausgang";"DE00000000000000000020";"-41,76";"";"";"000000000000000"
"24.03.26";"24.03.26";"Gebucht";"ISSUER";"Baumarkt.M/Ort5";"VISA Debitkartenumsatz vom 23.03.2026";"Ausgang";"DE00000000000000000020"; "-78,44";"";"";"000000000000000"
"24.03.26";"24.03.26";"Gebucht";"Max Mustermann                                                   Musterstr. 1,";"Hosting Provider GmbH";"Kundennummer: K0000000000 Rechnungsnummer: 000000000000";"Ausgang";"DE00000000000000000040";"-12,96";"DE00ZZZ00000000000";"M-C0000000000-0000";"00000000000"
"23.03.26";"23.03.26";"Gebucht";"ISSUER";"Baumarkt.AG/Ort4";"VISA Debitkartenumsatz vom 20.03.2026";"Ausgang";"DE00000000000000000020";"-95,40";"";"";"000000000000000"
"16.03.26";"16.03.26";"Gebucht";"ISSUER";"Supermarkt.Muster/Ort6";"VISA Debitkartenumsatz vom 14.03.2026";"Ausgang";"DE00000000000000000020";"-118,25";"";"";"000000000000000"
"16.03.26";"16.03.26";"Gebucht";"Max Mustermann";"Anna Musterfrau";"";"Ausgang";"DE00000000000000000050";"-100";"";"";""
"16.03.26";"16.03.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort6";"VISA Debitkartenumsatz vom 14.03.2026";"Ausgang";"DE00000000000000000020";"-28,93";"";"";"000000000000000"
"16.03.26";"16.03.26";"Gebucht";"ISSUER";"Tankstelle.Ort/Ort7";"VISA Debitkartenumsatz vom 13.03.2026";"Ausgang";"DE00000000000000000020";"-56,18";"";"";"000000000000000"
"16.03.26";"16.03.26";"Gebucht";"Max Mustermann                                                   Musterstr. 1 00000 Musterstadt";"Telekom Anbieter GmbH";"Festnetz Vertragskonto 0000000000 RG 0000000000/05.03.2026";"Ausgang";"DE00000000000000000060";"-47,95";"DE00ZZZ00000000000";"DE000000000000000000000000000000000";"Zahlbeleg 000000000000"
"13.03.26";"13.03.26";"Gebucht";"ISSUER";"Sparkasse.Ort/Ort7";"VISA Debitkartenumsatz vom 13.03.2026";"Ausgang";"DE00000000000000000020";"-200";"";"";"000000000000000"
"13.03.26";"13.03.26";"Gebucht";"ISSUER";"Volksbank.Ort/Ort7";"VISA Debitkartenumsatz vom 13.03.2026";"Ausgang";"DE00000000000000000020";"-300";"";"";"000000000000000"
"13.03.26";"13.03.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 12.03.2026";"Ausgang";"DE00000000000000000020";"-22,81";"";"";"000000000000000"
"13.03.26";"13.03.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 12.03.2026";"Ausgang";"DE00000000000000000020";"-45,08";"";"";"000000000000000"
